No,주소,아파트명,대지면적,건축면적,세대수,사용승인일
,성남시 분당구 동판교로 156,봇들9단지금호어울림,19452.26,3666.68,850,20090710
,성남시 분당구 판교원로 255,상록8단지,9394.74,1473.5,466,20090617
,성남시 분당구 서판교로 147,판교원마을11단지휴먼시아힐스테이트,17071.89,2950.02,605,20090522
,성남시 분당구 서판교로 165,판교원마을12단지휴먼시아힐스테이트,12056.44,1891.07,428,20090522
,성남시 분당구 서판교로 73,판교원마을10단지휴먼시아힐스테이트,15589.64,4282.78,248,20090522
,성남시 분당구 판교역로 72,백현8단지휴먼시아,8031.38,1466.63,343,20090414
,성남시 분당구 서판교로 29,판교원마을9단지한림풀에버,22206.83,3325.97,1045,20090327
,성남시 분당구 판교로 393,봇들2단지이지더원,17173.53,2562.55,721,20090220
,성남시 분당구 동판교로 275,봇들1단지신미주,27063.77,4181.26,1147,20090213
,성남시 분당구 판교원로 7,리가아파트,4686.03,506.02,222,20090204
,성남시 분당구 산운로 97,필하우스5단지,5612.89,858.75,268,20090130
,성남시 분당구 판교원로 237,판교원마을7단지모아미래도,9572.91,1266.88,597,20090130
,성남시 분당구 판교원로81번길 15,산운10단지로제비앙,4553.84,533.07,257,20090130
,성남시 중원구 도촌남로 134,섬마을휴먼시아8단지,10381.8,1532.18,762,20080204
,성남시 중원구 도촌남로 148,섬마을휴먼시아9단지,13846.94,1957.11,1005,20080204
,성남시 중원구 도촌남로 24,섬마을휴먼시아2단지,7222.19,1092.86,534,20080204
,성남시 중원구 도촌남로 69,섬마을휴먼시아4단지,6120.78,949.75,458,20080204
,성남시 중원구 도촌남로 67,섬마을휴먼시아3단지,7889.2,1596.38,408,20071221
,성남시 중원구 둔촌대로 363,성남자이,12725.66,2787.75,910,20070724
,성남시 수정구 수정로 316,우찬셀레스빌,623.32,473.6,118,20070309
,성남시 분당구 정자일로 121,분당더샾스타파크,5262.86,4001.67,623,20070206
,성남시 중원구 황송로 77,래미안금광,13445.4,2274.83,1098,20061113
,성남시 수정구 태평로 28,가천대역동부센트레빌,3196.28,964.9,248,20061027
,성남시 수정구 산성대로 305,삼부르네상스파크2,767.68,515.57,134,20060609
,성남시 수정구 공원로 322,신동아파라디움,2526.9,1746.37,272,20060217
,성남시 수정구 태평로 9,가천대역쌍용스윗닷홈,2367.43,515.59,191,20051207
,성남시 수정구 단대로23번길 10,단대진흥더블파크,2751.3,634.15,188,20050527
,성남시 분당구 야탑로 162,진흥더블파크,3111.42,469.46,142,20050519
,성남시 중원구 성남대로1130번길 26,한빛스위티,999.86,595.8,122,20050109
,성남시 분당구 정자일로 15,분당하우스토리,2870.27,1572.62,212,20041018
,성남시 분당구 정자일로 230,동양정자파라곤,1917.82,916.96,120,20041002
,성남시 분당구 정자일로213번길 10,성원상떼뷰리젠시,838.59,471.88,53,20040709
,성남시 분당구 정자일로 248,파크뷰,30172.56,17865.97,1834,20040701
,성남시 분당구 정자일로 21,삼라마이다스빌,1162.2,593,74,20040604
,성남시 분당구 정자일로 27,코오롱더프라우,1507.15,1008.21,164,20040326
,성남시 수정구 수정로 2,삼정그린뷰,5117.69,1217.13,274,20031220
,성남시 분당구 돌마로 906,매화마을SK뷰,2165.6,443.77,175,20031111
,성남시 분당구 야탑로 125,아이파크,7348.03,1294.79,277,20031110
,성남시 중원구 둔촌대로 300,아튼빌,18649.76,3791.78,1541,20031016
,성남시 분당구 정자일로 55,분당두산위브,9582.5,4081.23,668,20030927
,성남시 분당구 돌마로 908,분당동원로얄듀크,2890.33,370.53,166,20030900
,성남시 분당구 정자일로213번길 5,아이파크분당3,2885.91,1059.39,307,20030500
,성남시 분당구 성남대로 275,삼성아데나팰리스,3033.35,1643.09,203,20030430
